OBJECTID,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,OLD_ZONING,ZONE_DISTRICT,GLOBALID,ZONING,SHAPEAREA,SHAPELEN
152497,http://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,D/R-1-B,Residential Zone,,,0,0
152498,http://handbook.dcoz.dc.gov/zones/special-purpose-zones/Walter-Reed/wr-8/,Zoning Order 14-22,Final,WR-8,Supports the Development of the former Walter Reed Army Site,WR-8,Special Purpose Zone,,,0,0
152488,http://handbook.dcoz.dc.gov/zones/residential/R-19/,,,R-19,Permits detached houses on moderately-sized lots,New Zone,Residential Zone,,,0,0
152372,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152373,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152374,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152375,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152376,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152377,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152378,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152500,http://handbook.dcoz.dc.gov/zones/special-purpose-zones/Walter-Reed/wr-6/,Zoning Order 14-22,Final,WR-6,Supports the Development of the former Walter Reed Army Site,WR-6,Special Purpose Zone,,,0,0
152501,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152499,http://handbook.dcoz.dc.gov/zones/special-purpose-zones/Walter-Reed/wr-7/,Zoning Order 14-22,Final,WR-7,Supports the Development of the former Walter Reed Army Site,WR-7,Special Purpose Zone,,,0,0
152308,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152309,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152310,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152311,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152312,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152379,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152380,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152381,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152382,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152502,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152503,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152437,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152438,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152439,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152313,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152314,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152315,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152316,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152317,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152383,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152384,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152385,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152386,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152387,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152505,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152506,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152504,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152507,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152508,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152440,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152441,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152442,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152443,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152318,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152319,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152320,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152321,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152322,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152389,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152390,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152388,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-1/,"Official Digital Zoning Map of July 1, 2010",Final,RA-1,"Permits low to moderate-density development, including detached dwellings, rowhouses, and low-rise apartments",R-5-A,Residential Apartment Zone,,,0,0
152509,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152510,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152511,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152512,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152513,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152444,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152445,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152446,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152323,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152324,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152325,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152326,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152327,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152328,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152391,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152392,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152393,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152394,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152514,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152515,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152516,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152447,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152448,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152329,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152330,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152331,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152332,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152397,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152398,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152399,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152395,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152396,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152400,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152517,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152518,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152519,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152520,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152521,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152522,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152523,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152449,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152450,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152451,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152452,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152333,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152334,http://handbook.dcoz.dc.gov/zones/residential/R-3/,"Official Digital Zoning Map of July 1, 2010",Final,R-3,"Allows for attached rowhouses on small lots and row dwellings mingled with detached, semi-detached, and groupings of three or more row dwellings",R-3,Residential Zone,,,0,0
152401,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152402,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152403,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152404,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152405,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152524,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152525,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152526,http://handbook.dcoz.dc.gov/zones/residential-flat/RF-1/,"Official Digital Zoning Map of July 1, 2010",Final,RF-1,Permits development of attached rowhouses on small lots,R-4,Residential Flat Zone,,,0,0
152527,http://handbook.dcoz.dc.gov/zones/special-purpose-zones/Walter-Reed/wr-5/,Zoning Order 14-22,Final,WR-5,Supports the Development of the former Walter Reed Army Site,WR-5,Special Purpose Zone,,,0,0
152528,http://handbook.dcoz.dc.gov/zones/special-purpose-zones/Walter-Reed/wr-3/,Zoning Order 14-22,Final,WR-3,Supports the Development of the former Walter Reed Army Site,WR-3,Special Purpose Zone,,,0,0
152453,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152454,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152455,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152456,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152457,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152458,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152459,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152336,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152335,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152337,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152338,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152339,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
152340,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-2/,"Official Digital Zoning Map of July 1, 2010",Final,RA-2,Permits moderate and medium-density rowhouses and apartments,R-5-B,Residential Apartment Zone,,,0,0
